S.No,Energy Drink,Ingredients List,Levels of Each Ingredient,Alternative Ingredient List,Thresholds for Diabetes Mellitus (per serving),Thresholds for Cardiovascular Diseases,Diabetic Threshold (per serving),Food Safety Resources- Resource1,Food Safety Resources- Resource2,Food Safety Resources- Resource3,Expiry Dates,User Profile,Alternate Products-Product 1,Alternate Products-Product 2
1,Red Bull Energy Drink,"Water, Sucrose, Glucose, Citric Acid, Taurine, Sodium Bicarbonate, Magnesium Carbonate, Caffeine, Niacinamide, Pantothenic Acid, Pyridoxine HCl, Vitamin B12, Natural and Artificial Flavors","Sugar: 27g, Caffeine: 80mg, Taurine: 1000mg","Stevia, Green Tea Extract","Sugar: 10g, 
Caffeine: 40mg","CVD: 200mg, 
Sugar: 30g","Sugar: 10g, Caffeine: 40mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,07-09-2023,John Doe,Product1,Product2
2,Monster Energy,"Carbonated Water, Sucrose, Glucose, Citric Acid, Natural Flavors, Taurine, Sodium Citrate, Panax Ginseng Extract, L-Carnitine, Caffeine, Sorbic Acid, Benzoic Acid, Niacinamide, Sucralose","Sugar: 27g, Caffeine: 160mg, Taurine: 1000mg","Erythritol, Ginseng Extract","Sugar: 15g, 
Caffeine: 60mg","CVD: 250mg, 
Sugar: 40g","Sugar: 15g, Caffeine: 60mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,08-09-2023,John Doe,Product1,Product2
3,Rockstar Energy Drink,"Carbonated Water, High Fructose Corn Syrup, Caffeine, Taurine, Guarana Seed Extract, Carnitine, Ginseng Root Extract, Milk Thistle Extract, Natural Flavors, Caramel Color","Sugar: 30g, Caffeine: 160mg, Taurine: 1000mg","Coconut Sugar, L-Theanine","Sugar: 12g, 
Caffeine: 50mg","CVD: 220mg, 
Sugar: 35g","Sugar: 20g, Caffeine: 80mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,09-09-2023,John Doe,Product1,Product2
4,5-hour Energy,"Purified Water, Natural and Artificial Flavors, Sucralose, Potassium Sorbate, Sodium Benzoate, EDTA, Niacinamide, D-Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin B12","Sugar: 0g, Caffeine: 200mg, Niacin: 30mg","Erythritol, Ginseng Extract","Sugar: 0g, 
Caffeine: 80mg","CVD: 180mg, 
Sugar: 10g",Caffeine: 100mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,10-09-2023,John Doe,Product1,Product2
5,NOS Energy Drink,"Carbonated Water, High Fructose Corn Syrup, Natural Flavors, Citric Acid, Sodium Citrate, Sodium Hexametaphosphate, Taurine, Caffeine, Panax Ginseng Extract, L-Carnitine, Sucralose, Potassium Sorbate","Sugar: 25g, Caffeine: 160mg, Taurine: 1000mg","Stevia, Green Tea Extract","Sugar: 18g, Caffeine: 100mg","CVD: 300mg, Sugar: 45g","Sugar: 15g, Caffeine: 60mg",https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,07-09-2023,John Doe,Product1,Product2
6,Bang Energy,"Carbonated Water, Citric Acid, Natural Flavors, Caffeine, Sodium Benzoate, Potassium Citrate, L-Leucine, L-Isoleucine, L-Valine, Amino Acids, CoQ10, Super Creatine, L-Carnitine, Sucralose","Sugar: 0g, Caffeine: 300mg, Amino Acids: 2.5g","Erythritol, Ginseng Extract","Sugar: 0g, Caffeine: 120mg","CVD: 150mg, Sugar: 5g",Caffeine: 150mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,08-09-2023,John Doe,Product1,Product2
7,Celsius Energy Drink,"Carbonated Water, Citric Acid, Natural Flavors, Guarana Extract, Green Tea Leaf Extract, Ginger Root Extract, Caffeine, B-Vitamins, Sucralose, Beta-Carotene","Sugar: 0g, Caffeine: 200mg, Guarana Extract: 100mg","Erythritol, Ginseng Extract","Sugar: 0g, Caffeine: 80mg","CVD: 170mg, Sugar: 5g",Caffeine: 100mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,09-09-2023,John Doe,Product1,Product2
8,Reign Energy Drink,"Carbonated Water, Citric Acid, Natural Flavors, Caffeine, Electrolytes, CoQ10, BCAAs, L-Carnitine, Sucralose","Sugar: 0g, Caffeine: 300mg, BCAAs: 2g","Stevia, Green Tea Extract","Sugar: 0g, Caffeine: 120mg","CVD: 250mg, Sugar: 5g",Caffeine: 150mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,10-09-2023,John Doe,Product1,Product2
9,G Fuel Energy Formula,"Maltodextrin, Vitamin C, Vitamin E, Vitamin B3, Vitamin B6, Vitamin B12, Acai Berry Powder, Pineapple Fruit Powder, Apple Fruit Powder, Pomegranate Fruit Powder, Blueberry Fruit Powder, Raspberry Fruit Powder, Strawberry Fruit Powder","Sugar: 0g, Caffeine: 150mg, Vitamin C: 1000mg","Erythritol, Ginseng Extract","Sugar: 0g, Caffeine: 60mg","CVD: 180mg, Sugar: 10g",Caffeine: 75mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,07-09-2023,John Doe,Product1,Product2
10,Xyience Energy,"Carbonated Water, Citric Acid, Natural Flavors, Taurine, Caffeine, Panax Ginseng Extract, Guarana Extract, Sodium Citrate, Potassium Sorbate, Sodium Benzoate","Sugar: 0g, Caffeine: 176mg, Taurine: 2000mg","Stevia, Green Tea Extract","Sugar: 0g, Caffeine: 70mg","CVD: 230mg, Sugar: 10g",Caffeine: 88mg,https://www.foodsafety.gov/keep/index.html,https://www.cdc.gov/foodsafety/index.html,https://www.fda.gov/food/food-safety-during-emergencies/food-safety-resources,08-09-2023,John Doe,Product1,Product2
